Genome,Pan,Core,Accessory
657,53866.7,1446.4,52420.3
658,53884.5,1446.4,52438.1
659,53923.6,1446.2,52477.4
660,53942.5,1444.3,52498.2
661,53967.7,1443.6,52524.1
662,53990.7,1443.3,52547.4
663,54019.0,1439.4,52579.6
664,54030.7,1439.3,52591.4
665,54065.7,1438.8,52626.9
666,54098.6,1438.2,52660.4
667,54108.7,1438.0,52670.7
668,54131.7,1437.5,52694.2
669,54176.8,1436.5,52740.3
670,54196.5,1435.7,52760.8
671,54233.6,1434.5,52799.1
672,54252.8,1433.8,52819.0
673,54287.4,1432.5,52854.9
674,54303.3,1431.5,52871.8
675,54316.9,1430.6,52886.3
676,54338.2,1430.3,52907.9
677,54381.1,1429.7,52951.4
678,54407.4,1429.5,52977.9
679,54427.0,1428.8,52998.2
680,54451.2,1428.2,53023.0
681,54485.7,1427.3,53058.4
682,54535.1,1427.0,53108.1
683,54555.4,1425.3,53130.1
684,54584.0,1424.0,53160.0
685,54629.3,1423.7,53205.6
686,54657.3,1422.8,53234.5
687,54674.9,1421.5,53253.4
688,54705.9,1420.5,53285.4
689,54838.4,1415.3,53423.1
690,54876.6,1414.6,53462.0
691,54891.9,1414.1,53477.8
692,54920.6,1413.1,53507.5
693,54953.6,1412.4,53541.2
694,54989.0,1412.2,53576.8
695,55007.8,1411.6,53596.2
696,55032.8,1411.1,53621.7
697,55052.5,1411.0,53641.5
698,55078.0,1410.3,53667.7
699,55098.9,1409.6,53689.3
700,55129.7,1408.6,53721.1
701,55173.6,1407.7,53765.9
702,55190.8,1406.7,53784.1
703,55218.1,1405.8,53812.3
704,55237.2,1405.7,53831.5
705,55335.1,1400.4,53934.7
706,55347.5,1399.8,53947.7
707,55374.1,1399.5,53974.6
708,55389.6,1399.4,53990.2
709,55406.8,1398.5,54008.3
710,55428.5,1397.3,54031.2
711,55480.7,1396.7,54084.0
712,55504.8,1395.8,54109.0
713,55528.8,1395.0,54133.8
714,55562.7,1393.8,54168.9
715,55608.4,1392.4,54216.0
716,55627.4,1391.9,54235.5
717,55674.4,1390.9,54283.5
718,55730.7,1389.4,54341.3
719,55791.3,1384.6,54406.7
720,55810.6,1384.5,54426.1
721,55836.7,1384.4,54452.3
722,55854.5,1383.1,54471.4
723,55862.3,1383.1,54479.2
724,55879.3,1382.2,54497.1
725,55912.2,1381.6,54530.6
726,55955.6,1380.5,54575.1
727,55994.4,1378.4,54616.0
728,56021.5,1377.0,54644.5
729,56035.3,1374.8,54660.5
730,56093.5,1373.6,54719.9
731,56115.7,1373.4,54742.3
732,56152.5,1371.9,54780.6
733,56179.7,1371.5,54808.2
734,56202.1,1369.9,54832.2
735,56228.2,1368.5,54859.7
736,56273.9,1368.2,54905.7
737,56309.3,1367.8,54941.5
738,56333.6,1367.5,54966.1
739,56351.0,1366.4,54984.6
740,56379.0,1365.5,55013.5
741,56413.0,1365.0,55048.0
742,56428.2,1364.3,55063.9
743,56453.0,1364.2,55088.8
744,56468.6,1364.0,55104.6
745,56489.8,1363.3,55126.5
746,56508.7,1362.6,55146.1
747,56540.1,1361.7,55178.4
748,56568.8,1361.2,55207.6
749,56608.9,1360.9,55248.0
750,56629.6,1360.3,55269.3
751,56651.3,1360.2,55291.1
752,56666.0,1360.1,55305.9
753,56680.8,1355.5,55325.3
754,56721.9,1354.0,55367.9
755,56743.3,1353.4,55389.9
756,56760.1,1353.3,55406.8
757,56778.2,1351.1,55427.1
758,56791.1,1350.3,55440.8
759,56805.4,1346.8,55458.6
760,56840.7,1346.1,55494.6
761,56924.8,1345.2,55579.6
762,56971.1,1343.8,55627.3
763,56985.1,1343.4,55641.7
764,57025.9,1342.7,55683.2
765,57082.3,1342.2,55740.1
766,57113.0,1340.3,55772.7
767,57137.9,1339.6,55798.3
768,57210.1,1338.7,55871.4
769,57224.0,1338.3,55885.7
770,57257.6,1338.2,55919.4
771,57279.3,1337.5,55941.8
772,57330.7,1335.3,55995.4
773,57384.3,1334.5,56049.8
774,57411.6,1333.7,56077.9
775,57435.0,1332.6,56102.4
776,57467.8,1331.6,56136.2
777,57482.2,1330.2,56152.0
778,57511.1,1327.0,56184.1
779,57563.8,1325.2,56238.6
780,57609.2,1323.7,56285.5
781,57660.9,1323.4,56337.5
782,57682.0,1322.4,56359.6
783,57699.9,1322.0,56377.9
784,57724.3,1321.9,56402.4
785,57750.6,1321.0,56429.6
786,57794.6,1320.2,56474.4
787,57840.9,1319.7,56521.2
788,57873.6,1318.3,56555.3
789,57888.5,1317.7,56570.8
790,57903.9,1316.9,56587.0
791,57930.0,1316.5,56613.5
792,57949.7,1315.4,56634.3
793,57964.7,1314.7,56650.0
794,57977.8,1314.3,56663.5
795,58010.5,1314.1,56696.4
796,58036.5,1313.2,56723.3
797,58072.4,1312.1,56760.3
798,58091.7,1310.2,56781.5
799,58141.0,1309.4,56831.6
800,58159.8,1308.9,56850.9
801,58200.4,1308.7,56891.7
802,58235.9,1308.6,56927.3
803,58255.1,1308.1,56947.0
804,58283.6,1307.3,56976.3
805,58309.8,1306.2,57003.6
806,58327.9,1305.8,57022.1
807,58358.6,1305.6,57053.0
808,58377.2,1304.0,57073.2
809,58427.7,1303.7,57124.0
810,58451.8,1303.6,57148.2
811,58473.2,1303.2,57170.0
812,58485.9,1301.9,57184.0
813,58502.4,1301.4,57201.0
814,58525.6,1301.0,57224.6
815,58553.2,1300.6,57252.6
816,58583.5,1298.2,57285.3
817,58607.0,1296.9,57310.1
